meta_ref_id,quote,reports_any_result,reports_quantitative_result,reports_limitation
"Albertson, L. K., MacDonald, M. J., Tumolo, B. B., Briggs, M. A., Maguire, Z., Quinn, S., Sanchez-Ruiz, J. A., Veneros, J. and Burkle, L. A. 2021. Uncovering patterns of freshwater positive interactions using meta-analysis: identifying the roles of common participants, invasive species, and environmental context. â€“ Ecol. Lett. 24: 594â€“60.","The strength of this relationships was stronger for standing-stock biomass than for N-recycling. This novel result from our study adds evidence that positive species interactions, such as interspecific facilitation, may be a mechanism by which biodiversity enhances the functioning of ecosystems (Cardinale et al. 2012, Albertson et al. 2021).",TRUE,FALSE,FALSE
"Alcocer, I., Lima, H., Sugai, L. S. M. & Llusia, D. Acoustic indices as proxies for biodiversity: a meta-analysis. Biol. Rev. 97, 2209â€“2236 (2022).","However, features did not behave consistently across datasets and most were only correlated with richness in one or two datasets (explaining inconsistencies seen in the literature19; Fig. 1aâ€“c).",TRUE,FALSE,FALSE
"Alcocer, I., Lima, H., Sugai, L. S. M. & Llusia, D. Acoustic indices as proxies for biodiversity: a meta-analysis. Biol. Rev. 97, 2209â€“2236 (2022).","Nonetheless, soundscape features which correlate positively with biodiversity at one site can have an inverse relationship in another17,18 and no reliable single metric has been found19",TRUE,FALSE,FALSE
"Alcocer, I., Lima, H., Sugai, L. S. M. & Llusia, D. Acoustic indices as proxies for biodiversity: a meta-analysis. Biol. Rev. 97, 2209â€“2236 (2022).","Nonetheless, soundscape features which correlate positively with biodiversity at one site can have an inverse relationship in another17,18 and no reliable single metric has been found19.",TRUE,FALSE,FALSE
"Alderliesten, J.B., Duxbury, S.J.N., Zwart, M.P., de Visser, J.A.G.M., Stegeman, A., Fischer, E.A.J., 2020. Effect of donor-recipient relatedness on the plasmid conjugation frequency: a meta-analysis. BMC Microbiol. 20 (135), http://dx.doi.org/10.1186/ s12866-020-01825-4.","Measured conjugation efficiencies vary over many orders of magnitudes (Dionisio et al., 2002; Alderliesten et al., 2020; Sheppard et al., 2020). Surprisingly, no consensus method for measurement exists though (Huisman et al., 2022; Kosterlitz et al., 2022; Kosterlitz and Huisman, 2023).",TRUE,FALSE,FALSE
"Alicia MC, Paula PR, Eliana I, et al. (2022) The impact of crop diversification, tillage and fertilization type on soil total microbial, fungal and bacterial abundance: a worldwide meta-analysis of agricultural sites. Agric Ecosyst Environ 329:107867","A meta-analysis showed that fertilizer has a positive effect on the total PLFA and microbial biomass, which are related to the soil nitrogen and phosphorus increases in the farmland (Alicia et al. 2022).",TRUE,FALSE,FALSE
"Alldred M, Baines SB (2016) Effects of wetland plants on denitrification rates: a meta-analysis. Ecol Appl 26:676â€“685","Denitrification is an important nitrogen pathway in salt marshes [6], but eutrophic environments may alter sediment microbial communities to favor N recycling over N removal [7â€“10].",TRUE,FALSE,FALSE
"Allek A, Viany Prieto P, Korys KA, Rodrigues AF, Latawiec AE, Crouzeilles R (2022) How does forest restoration affect the recovery of soil quality? A global meta-analysis for tropical and temperate regions. Restoration Ecology: e13747","For example, meta-analyses have pooled studies on tree planting for ecological restoration (Reid et al. 2012) with ones on tree planting aligned with other goals of the broader ecosystemrestoration agenda â€“ such as commercial agroforestry (Beukema & van Noordwijk 2004)â€”under the category of active restoration (Crouzeilles et al. 2017; Jones et al. 2018; Allek et al. 2022).",TRUE,FALSE,FALSE
"Allen, D.C. & Wesner, J.S. (2016) Synthesis: comparing effects of resource and consumer fluxes into recipient food webs using meta-analysis. Ecology, 97, 594â€“604.","In addition, at the ecosystem level, a balance between top-down and bottom-up control also emerges depending on whether subsidies are direct resources or not (as reviewed by Allen & Wesner, 2016).",TRUE,FALSE,FALSE
"Allen, D.C. & Wesner, J.S. (2016) Synthesis: comparing effects of resource and consumer fluxes into recipient food webs using meta-analysis. Ecology, 97, 594â€“604.","In addition, at the ecosystem level, a balance between top-down and bottom-up control also emerges depending on whether subsidies are direct resources or not (as reviewed by Allen & Wesner, 2016).",TRUE,FALSE,FALSE
"Almeida-Rocha JM, Peres CA, Oliveira LC (2017) Primate responses to anthropogenic habitat disturbance: a pantropical meta-analysis. Biol Conserv 215:30â€“38","In particular, primates are highly vulnerable to habitat loss as they are largely arboreal and depend on forests for survival (Zunino et al. 2007; Arroyo-RodrÃ­guez and Dias 2010; Hansen et al. 2013; Almeida-Rocha et al. 2017; Estrada et al. 2017, 2018).",TRUE,FALSE,FALSE
"Almeida-Rocha JM, Peres CA, Oliveira LC (2017) Primate responses to anthropogenic habitat disturbance: a pantropical meta-analysis. Biol Conserv 215:30â€“38","Human disturbance tends to have a consistently negative effect on forest primates which depend on trees for food, movement, and sleeping sites (Anderson et al. 2007; Pozo-Montuy et al. 2011; Almeida-Rocha et al. 2017).",TRUE,FALSE,FALSE
"Alofs, K.M. & Jackson, D.A. (2014) Meta-analysis suggests biotic resistance in freshwater environments is driven by consumption rather than competition. Ecology, 95, 3259â€“3270","Specifically, consumptive pressure via predation is thought to be stronger in aquatic systems (Alofs & Jackson, 2014; other ref);",TRUE,FALSE,FALSE
"Alofs, K.M. & Jackson, D.A. (2014) Meta-analysis suggests biotic resistance in freshwater environments is driven by consumption rather than competition. Ecology, 95, 3259â€“3270","This difference may be because freshwater systems have a higher prevalence of generalist consumers, which cause strong top-down control (Alofs & Jackson, 2014; other ref)",TRUE,FALSE,FALSE
"Alofs, K.M. & Jackson, D.A. (2014) Meta-analysis suggests biotic resistance in freshwater environments is driven by consumption rather than competition. Ecology, 95, 3259â€“3270","Finally, studies have highlighted differences in selective pressure between lakes and streams, suggesting biotic resistance to invasion is weaker in streams (Alofs & Jackson, 2014; other ref).",TRUE,FALSE,FALSE
"Anderegg, W. R. L. L. et al. Meta-analysis reveals that hydraulic traits explain cross-species patterns of drought-induced tree mortality across the globe. Proc. Natl Acad. Sci USA 113, 5024â€“5029 (2016).","Some species (particularly angiosperms) may be adapted to recover from embolism by refilling conduits, resprouting from branch nodes below dead tissues or radial growth following drought relief11.",TRUE,FALSE,FALSE
"Anderegg, W. R. L. L. et al. Meta-analysis reveals that hydraulic traits explain cross-species patterns of drought-induced tree mortality across the globe. Proc. Natl Acad. Sci USA 113, 5024â€“5029 (2016).","The probability of suffering hydraulic failure (that is, hydraulic risk)11,24 is commonly quantified with the hydraulic safety margin (HSM), which is the difference between the minimum observed water potential in the xylem (Pmin, a measure of drought exposure reflecting plant hydraulic regulation at the tissue level) and the water potential causing 50% or 88% of hydraulic conductivity loss (P50 and P88, measuring vulnerability to xylem embolism)25,26.",FALSE,FALSE,FALSE
"Anderegg, W. R. L. L. et al. Meta-analysis reveals that hydraulic traits explain cross-species patterns of drought-induced tree mortality across the globe. Proc. Natl Acad. Sci USA 113, 5024â€“5029 (2016).","Previous studies have shown that plant hydraulic traits have the potential to improve our capacity to understand and predict DIM11 and drought impacts on ecosystem fluxes12,13, as well as the community dynamics14,15 emerging from these processes",TRUE,FALSE,FALSE
"Anderegg, W. R. L., Klein, T., Bartlett, M., Sack, L., Pellegrini, A. F. A., Choat, B., & Jansen, S. (2016). Meta-analysis reveals that hydraulic traits explain cross-species patterns of drought-induced tree mortality across the globe. Proceedings of the National Academy of Sciences of the United States of America, 113, 5024â€“5029. https:// doi.org/10.1073/pnas.15256 78113","The results demonstrate significant negative correlations between WD and P50 with tree growth and mortality during both HWS and LWS periods, in line with previous studies (Anderegg et al., 2016; Chao et al., 2008; Kraft et al., 2010; Rowland et al., 2015).",TRUE,FALSE,FALSE
"Anderegg, W.R.L., Klein, T., Bartlett, M., Sack, L., Pellegrini, A.F.A., Choat, B. et al. (2016) Meta-analysis reveals that hydraulic traits explain cross-species patterns of drought-induced tree mortality across the globe. Proceedings of the National Academy of Sciences of the United States of America, 113, 5024â€“5029.","Interspecific variation in these traits determines which species within a site will be more susceptible to severe drought events and how site-level composition might change with a changing climate (Anderegg et al., 2015, 2016; Esquivel-Muelbert et al., 2019; Trugman et al., 2020).",TRUE,FALSE,FALSE
"Andriuzzi, W. S., & Wall, D. H. (2017). Responses of belowground communities to large aboveground herbivores: Meta-analysis reveals biome-dependent patterns and","Experimental studies of other large browsers and grazers across biomes show considerable disagreement in the strength of these animal's effect on soil ecosystem functioning (e.g. Ibanez-Alvarez et al., 2022 and see reviews in Andriuzzi & Wall, 2017; Daskin & Pringle, 2016; Forbes et al., 2019)",TRUE,FALSE,FALSE
"Andriuzzi, W. S., & Wall, D. H. (2017). Responses of belowground communities to large aboveground herbivores: Meta-analysis reveals biome-dependent patterns and","Recent work has called into question the generality of these earlier findings (Ellis & Leroux, 2017; Ibanez-Alvarez et al., 2022; Kolstad et al., 2018) and has attempted to explain the disparate effects of ungulates on ecosystem properties (Andriuzzi & Wall, 2017; Daskin & Pringle, 2016; Sitters & Andriuzzi, 2019; Staver et al., 2021).",FALSE,FALSE,FALSE
"Andriuzzi, W. S., & Wall, D. H. (2017). Responses of belowground communities to large aboveground herbivores: Meta-analysis reveals biome-dependent patterns and","This is true, even when we account for the important differences between the effects of browsers and grazers (see reviews in Andriuzzi & Wall, 2017; Bernes et al., 2018; Forbes et al., 2019; Sitters & Andriuzzi, 2019; Staver et al., 2021; Wardle et al., 2004)",TRUE,FALSE,FALSE
"Anjos, D. V., L. C. Leal, P. Jordano, and K. Del-Claro. 2020. â€œAntsas Diaspore Removers of Non-myrmecochorous Plants:A Meta-Analysis.â€ Oikos 129: 775â€“86.","However, plants are also frequently dis-persed by a broad diversity of invertebrates (e.g., ants anddung beetles), which can be equally if not more impor-tant than vertebrates (e.g., Anjos et al., 2020; Ness et al.,2009; PÃ©rez-Ramos et al., 2013)",TRUE,FALSE,FALSE
"Anjos, D.V., Leal, L.C., Jordano, P., Del-Claro, K., 2020. Ants as diaspore removers of non-myrmecochorous plants: a meta-analysis. Oikos 129, 775â€“786. https://doi.org/ 10.1111/oik.06940.","Among these resources are myrmecochorous diaspores (i. e., diaspores with an elaiosome, a specialized comestible appendage dedicated to ant attraction; Beattie 1985) and non-myrmecochorous diaspores (i.e., plants that are primarily dispersed by vertebrates, wind or authocoric species) (Anjos et al., 2020; Santana et al., 2013; Vander Wall and Longland, 2004).",FALSE,FALSE,FALSE
"Anjos, D.V., Leal, L.C., Jordano, P., Del-Claro, K., 2020. Ants as diaspore removers of non-myrmecochorous plants: a meta-analysis. Oikos 129, 775â€“786. https://doi.org/ 10.1111/oik.06940.","Yet diaspore removal is the first step of the seed dispersal process, and seed removal by ants is important to partially mitigate the negative anthropogenic effects on large seed dispersers in human-modified landscapes (Anjos et al., 2020).",TRUE,FALSE,FALSE
"Aponte H, Meli P, Butler B, Paolini J, Matus F, Merino C, et al. Meta-analysis of heavy metal effects on soil enzyme activities. Sci Total Environ. 2020;737: 139744.","Aponte et al. [13] found that individual heavy metal contaminants linearly decreased the activities of key soil microbial enzymes, particularly those involved in carbon and sulfur cycling.",TRUE,FALSE,FALSE
"ArdÃ³n, M., Zeglin, L.H., Utz, R.M., Cooper, S.D., Dodds, W.K., Bixby, R.J. et al. (2021) Experimental nitrogen and phosphorus enrichment stimulates multiple trophic levels of algal and detrital-based food webs: a global meta-analysis from streams and rivers. Biological Reviews, 96(2), 692â€“715.","Elucidating such relationships has come under sharper focus as humans continue to alter biogeochemical cycles of carbon (C), nitrogen (N) and phosphorous (P), affecting both basal resource quantity and quality, with ramifications for biodiversity (ArdÃ³n et al., 2021; Nessel et al., 2021; Sterner & Elser, 2002).",FALSE,FALSE,FALSE
"ArdÃ³n, M., Zeglin, L.H., Utz, R.M., Cooper, S.D., Dodds, W.K., Bixby, R.J. et al. (2021) Experimental nitrogen and phosphorus enrichment stimulates multiple trophic levels of algal and detrital-based food webs: a global meta-analysis from streams and rivers. Biological Reviews, 96(2), 692â€“715.","Yet, collective empirical evidence supports that stream detrital and autotrophic pathways respond similarly to nutrient enrichment (ArdÃ³n et al., 2021) suggesting that our results should parallel shifts in detrital stoichiometry as well.",TRUE,FALSE,FALSE
"ArdÃ³n, M., Zeglin, L.H., Utz, R.M., Cooper, S.D., Dodds, W.K., Bixby, R.J. et al. (2021) Experimental nitrogen and phosphorus enrichment stimulates multiple trophic levels of algal and detrital-based food webs: a global meta-analysis from streams and rivers. Biological Reviews, 96(2), 692â€“715.","This interpretation is supported by studies demonstrating phosphorus addition amplifies stream invertebrate growth and production (ArdÃ³n et al., 2021; Cross et al., 2006; Halvorson et al., 2017)",TRUE,FALSE,FALSE
"Arena, M. & Sgolastra, F. A meta-analysis comparing the sensitivity of bees to pesticides. Ecotoxicology 23, 324â€“334 (2014).","We used LD50 for adult A. mellifera because there are incomplete toxicity data for other bee species and life stages and, where there are data, LD50 for other bee species correlate with the corresponding A. mellifera LD50 (refs. 53,74).",TRUE,FALSE,FALSE
"Arena, M. & Sgolastra, F. A meta-analysis comparing the sensitivity of bees to pesticides. Ecotoxicology 23, 324â€“334 (2014).","The generally low maximum cumulative ratio (MCR) values indicate that the pesticide mixture risk, independent of bee species and focal crop, was driven by one or a few high-risk compounds (similar to ref. 53).",TRUE,FALSE,FALSE
"Arft, A. M., M. D. Walker, J. Gurevitch, J. M. Alatalo, M. S. Bret-Harte, M. Dale, M. Diemer, et al. 1999. â€œResponses of Tundra Plants to Experimental Warming: Meta-Analysis of the International Tundra Experiment.â€ Ecological Monographs 69(4): 491â€“511.","Our results agree with the results of studies with several other species, showing that flowering advances with warmer spring temperatures (Arft et al., 1999; EhrlÃ©n & ValdÃ©s, 2020; Tansey et al., 2017).",TRUE,FALSE,FALSE
"Armstrong, E., & Boonekamp, J. (2023). Does oxidative stress shorten telomeres in vivo? A meta-analysis. Ageing Research Reviews, 85, 101854. https:// doi. org/ 10. 1016/J. ARR. 2023. 101854","Alternatively, but not mutually exclusive, increased telomere loss could be an indirect effect of the parasitic infection, for example, through an increase in oxidative stress (Armstrong & Boonekamp, 2023).",TRUE,FALSE,FALSE
"Arnold, P.A., Delean, S., Cassey, P. & White, C.R. (2021) Meta-analysis reveals that resting metabolic rate is not consistently related to fitness and performance in animals. Journal of Comparative Physiology. B, 191(6), 1097â€“1110.","Metabolic rate is thought to be a key driver for a wide range of biological processes (Pettersen et al., 2018) and has recently been shown to be positively related to fitness traits (Arnold et al., 2021).",TRUE,FALSE,FALSE
"Arnold, T. W., R. T. Alisauskas, and J. S. Sedinger. 2020. A metaâ€analysis of band reporting probabilities for North American waterfowl. Journal of Wildlife Management 84:534â€“541.","This could be due to greater harvest pressure but may also just reflect greater reporting probabilities of bands once a goose was shot by a hunter because a greater proportion of interior Alaska geese winter in Mexico (Ely et al. 2013, VonBank et al. 2021) where band reporting probabilities were lower than in the United States or Canada (Kramer et al. 1995, Zimmerman et al. 2009, Arnold et al. 2020).",TRUE,FALSE,FALSE
"Arnqvist, G., Rowe, L., Krupa, J. J., & Sih, A. (1996). Assortative mating by size: A meta-analysis of mating patterns in water striders. Evolutionary Ecology, 10(3), 265e284. https://doi.org/10.1007/BF01237684","When individuals in a population share similar mate choice preferences for size, a population level pairing pattern can arise, such as positive or negative assortment (Arnqvist et al., 1996; Burley, 1983; Jiang et al., 2013).",TRUE,FALSE,FALSE
"Arnqvist, G., Rowe, L., Krupa, J. J., & Sih, A. (1996). Assortative mating by size: A meta-analysis of mating patterns in water striders. Evolutionary Ecology, 10(3), 265e284. https://doi.org/10.1007/BF01237684","Positive assortment is characterized by a positive correlation between a male and female trait within pairs, such as large males paired with large females and small males paired with small females (Arnqvist et al., 1996; Rueger et al., 2016), whereas negative assortment is characterized by a negative cor- relation between a male and female trait within pairs (Joâ‚¬nsson, 1987; Petrie, 1983).",TRUE,FALSE,FALSE
"Arnqvist, G., Rowe, L., Krupa, J. J., & Sih, A. (1996). Assortative mating by size: A meta-analysis of mating patterns in water striders. Evolutionary Ecology, 10(3), 265â€“284. https://doi.org/10.1007/BF012 37684","At the population level, variations in individual sexual behaviours frequently result, for instance through mate choice, in non-random pairing (Shuster & Wade, 2003) such as assortative mating patterns (Arnqvist et al., 1996).",TRUE,FALSE,FALSE
"Aronson, J. et al. (2010) Are socioeconomic benefits of restora- tion adequately quantified? A meta-analysis of recent papers (2000-2008) in Restoration ecology and 12 other scientific journals. Restor. Ecol. 18, 143â€“154","Furthermore, indicators are often biased toward ecological rather than social outcomes [52].",TRUE,FALSE,FALSE
"Atkinson J, Bonser SP (2020) â€œActiveâ€ and â€œpassiveâ€ ecological restoration strategies in meta-analysis. Restoration Ecology 28:1032â€“1035","Passive restoration refers to strategies that mainly rely on ecosystems recovering naturally following removal or mitigation of sources of degradation, with minimal direct human intervention (Chazdon&Uriarte 2016; Atkinson& Bonser 2020).",FALSE,FALSE,FALSE
"Atkinson, J., & Bonser, S. P. (2020). â€˜Activeâ€™ and â€˜passiveâ€™ ecological restoration strategies in meta-analysis. Restoration Ecology, 28(5), 1032â€“1035. https://doi.org/10.1111/rec.13229","This can range from passive restoration, or natural recovery, which is the cessation of major disturbance (e.g. deforestation, agriculture) (Atkinson & Bonser, 2020; Chazdon et al., 2021) or reinstatement of disturbance and management regimes (e.g. fire, grazing, mowing)",FALSE,FALSE,FALSE
"Atkinson, J., & Bonser, S. P. (2020). â€˜Activeâ€™ and â€˜passiveâ€™ ecological restoration strategies in meta-analysis. Restoration Ecology, 28(5), 1032â€“1035. https://doi.org/10.1111/rec.13229","Active or assisted and reconstructive restoration includes the addition of interventions which might manipulate abiotic and biotic factors including the reintroduction of desired biota (Atkinson & Bonser, 2020).",TRUE,FALSE,FALSE
"Auge, R.M., Toler, H.D., Saxton, A.M., 2015. Arbuscular mycorrhizal symbiosis alters stomatal conductance of host plants more under drought than under amply watered conditions: a meta-analysis. Mycorrhiza 25 (1), 13â€“24. https://doi.org/10.1007/ s00572-014-0585-4.","Several studies have shown that AMF improves plant performance under resource conditions for limited growth (Auge et al., 2015; et al., 2016; Bahadur et al., 2019; Zhao et al., 2020; Wang et al., 2021).",TRUE,FALSE,FALSE
"Auge, R.M., Toler, H.D., Saxton, A.M., 2015. Arbuscular mycorrhizal symbiosis alters stomatal conductance of host plants more under drought than under amply watered conditions: a meta-analysis. Mycorrhiza 25 (1), 13â€“24. https://doi.org/10.1007/ s00572-014-0585-4.","Natural or artificial inoculation directly influences primordial physiological mechanisms such as respiration, photosynthesis and efficient use of water throughout the plant (Auge et al., 2015; Barros et al., 2018; Frosi et al., 2016b)",TRUE,FALSE,FALSE
"AugÂ´e, R.M., Toler, H.D., Saxton, A.M., 2015. Arbuscular mycorrhizal symbiosis alters stomatal conductance of host plants more under drought than under amply watered conditions: a meta-analysis. Mycorrhiza 25 (1), 13â€“24.","Stomata play a pivotal role in controlling the balance between water loss and carbon gain (i.e., biomass production) (AugÂ´e et al., 2015).",TRUE,FALSE,FALSE
"AugÃ©, R. M., Toler, H. D., & Saxton, A. M. (2016). Mycorrhizal stimulation of leaf gas exchange in relation to root colonization, shoot size, leaf phosphorus and nitrogen: A quantitative analysis of the literature using meta-regression. Frontiers in Plant Science, 7, 1084. https:// www.front iersin.org/artic les/10.3389/fpls.2016.01084","Conversely, we observed a positive correlation between SLA and MD (when excluding NM plants). Since the earliest reports of AMF-induced changes in gas exchange within host plants, it has been demonstrated that photosynthetic efficiency, stomatal conductance and transpiration rates are often higher in mycorrhizal plants relative to their non-colonized controls (AugÃ© et al., 2016).",TRUE,FALSE,FALSE
"BECKER, D.J., STREICKER, D.G. & ALTIZER, S. (2015) Linking anthropogenic resources to wildlifeâ€“pathogen dynamics: a review and meta-analysis. Ecology Letters,18, 483-495.","Supplemental food can have both positive and negative effects on wildlife, including changes in distribution, body condition, survival, reproduction and population dynamics (Lunn & Stirling, ; Stringham; Becker et al.,; Lillie et al., ).",TRUE,FALSE,FALSE
"Bai, E., Li, S., Xu, W., Li, W., Dai, W., Jiang, P., 2013. A meta-analysis of experimental warming effects on terrestrial nitrogen pools and dynamics. N. Phytol. 199, 441â€“451.","In our study, the soil NH4+-N content was significantly increased by warming at the 0â€“10 cm soil depth (Fig. 5b), which could be explained by the warming-induced enhancements in SM (Fig. 4b) and microbial metabolism (Bai et al., 2013) in the surface soil layer.",TRUE,FALSE,FALSE
"Balliet, D., Wu, J., & De Dreu, C. K. W. (2014). Ingroup favoritism in cooperation: A meta-analysis. Psychological Bulletin, 140(6), 1556â€“1581. https://doi.org/10.1037/ a0037737","Previous studies have consistently documented the tendency to favor in-group members over out-group members (i.e., in-group favoritism) in various domains of human prosociality including cooperation (Aaldering, Ten Velden, van Kleef, & De Dreu, 2018; Ahmed, 2007; Balliet, Wu, & De Dreu, 2014; Goette, Huffman, Meier, & Sutter, 2012; Guala, Mittone, & Ploner, 2013; Koopmans & Rebers, 2009; Krupp, Debruine, & Barclay, 2008; Wit & Wilke, 1992)",TRUE,FALSE,FALSE
"Balliet, D., Wu, J., & De Dreu, C. K. W. (2014). Ingroup favoritism in cooperation: A meta-analysis. Psychological Bulletin, 140(6), 1556â€“1581. https://doi.org/10.1037/ a0037737","In-group favoritism has been observed among children (Dunham, 2018; LaziÂ´ c, PuriÂ´ c, & KrstiÂ´ c, 2021) and adults (Balliet et al., 2014)",TRUE,FALSE,FALSE
