article_id,meta_ref_id,is_meta_ref_meta_analysis,meta_ref_section,meta_ref_section_adj,meta_ref_quotes
00018244_008746,calem m et al (2017) meta-analysis of associations between childhood adversity and hippocampus and amygdala volume in non-clinical and general population samples. neuroimage clin 14:471–479,TRUE,discussion/conclusion,results/discussion/conclusion,the literature is especially abundant on structural alterations in the amygdala and hippocampus due to childhood adversity (calem et al. 2017) and the possible exacerbating impacts these anomalies may have on later psychopathology (mccrory et al. 2012).
00018244_008746,koolschijn pc et al (2009) brain volume abnormalities in major depressive disorder: a meta-analysis of magnetic resonance imaging studies. hum brain mapp 30(11):3719–3735,TRUE,introduction,introduction,"subcortical regions of the brain are associated with neuropsychiatric disorders including depression (koolschijn et al. 2009), anxiety (holzschneider and mulert 2011), and schizophrenia (shepherd et al. 2012), as well as intellectual functioning (bohlken et al. 2014)."
00018244_008746,shepherd am et al (2012) systematic meta-review and quality assessment of the structural brain alterations in schizophrenia. neurosci biobehav rev 36(4):1342–1356,FALSE,NA,NA,NA
00018244_008857,"chiang jj, lam ph, chen e, miller ge (2022) psychological stress during childhood and adolescence and its association with inflammation across the lifespan: a critical review and meta-analysis. psychol bull 148:27–66. https:// doi. org/ 10. 1037/ bul00 00351",TRUE,discussion/conclusion,results/discussion/conclusion,"high-stress exposure in childhood has also been shown to increase inflammation throughout the lifespan (chiang et al. 2022), which could influence both chronic pain and psychopathology incidence (danese and baldwin 2017; marchand et al. 2005)."
00018244_008857,"glahn dc, laird ar, ellison-wright i, thelen sm, robinson jl, lancaster jl, bullmore e, fox pt (2008) meta-analysis of gray matter anomalies in schizophrenia: application of anatomic likelihood estimation and network analysis. biol psychiatry 64(9):774–781. https:// doi. org/ 10. 1016/j. biops ych. 2008. 03. 031",TRUE,discussion/conclusion,results/discussion/conclusion,"gray matter abnormalities common to psychopathology, such as reduced gray matter in the insular cortex, anterior cingulate cortex, orbitofrontal cortex, middle frontal gyrus, postcentral gyrus, and thalamus, and increased gray matter in striatal regions (bos et al. 2018; galambos et al. 2019; glahn et al. 2008), are often common to chronic pain patients and pain processing (smallwood et al. 2013)."
00018244_008857,"smallwood rf, laird ar, ramage ae, parkinson al, lewis j, clauw dj, williams da, schmidt-wilcke t, farrell mj, eickhoff sb, robin da (2013) structural brain anomalies and chronic pain: a quantitative meta-analysis of gray matter volume. j pain 14(7):663–675. https:// doi. org/ 10. 1016/j. jpain. 2013. 03. 001",TRUE,discussion/conclusion,results/discussion/conclusion,"gray matter abnormalities common to psychopathology, such as reduced gray matter in the insular cortex, anterior cingulate cortex, orbitofrontal cortex, middle frontal gyrus, postcentral gyrus, and thalamus, and increased gray matter in striatal regions (bos et al. 2018; galambos et al. 2019; glahn et al. 2008), are often common to chronic pain patients and pain processing (smallwood et al. 2013)."
00018244_009147,"loth ak, drabick da, leibenluft e, hulvershorn la (2014) do childhood externalizing disorders predict adult depression? a meta-analysis. j abnorm child psychol 42(7):1103–1113",TRUE,introduction,introduction,"externalizing behavior in childhood, including proactive aggression, reactive aggression, and irritability/anger dysregulation, has been linked to negative health sequelae, such as increased risk for a myriad of mental health problems (loth et al. 2014; bornstein et al. 2013; molina et al. 2018), and disruption in life opportunities, such as educational and occupational achievement during adulthood (fairchild et al. 2019; dardani et al. 2021; ramos-olazagasti et al. 2018; jangmo et al. 2021; lewis et al. 2017)."
00018244_009147,"march-llanes j, marqués-feixa l, mezquita l, fañanás l, moya-higueras j (2017) stressful life events during adolescence and risk for externalizing and internalizing psychopathology: a meta-analysis. eur child adolesc psychiatry 26(12):1409–1422",TRUE,introduction,introduction,"youth living in marginalized communities and/or low-resource neighborhoods are disproportionately exposed to negative and stressful life events (reiss 2013; reiss et al. 2019; choi et al. 2021), which are also associated with externalizing behavior (march-llanes et al. 2017; womack et al. 2022; mcneilly et al. 2021; turney 2022)."
00018244_009147,"reaves s, mcmahon sd, duffy sn, ruiz l (2018) the test of time: a meta-analytic review of the relation between school climate and problem behavior.aggression and violent behavior39100–108",TRUE,discussion/conclusion,results/discussion/conclusion,"given that the developmental literature has phenotypically linked factors such as negative school climate with youth expression of externalizing behavior (reaves et al. 2018; hendron and kearney 2016), findings here indicate that community-based prevention programs targeting environmental factors such as school climate, quality, resources, and educational opportunities could help attenuate and mitigate development of externalizing behavior among youth in lower-opportunity neighborhoods, whose liability for externalizing behavior is predominantly environmental."
00018244_009201,"román-caballero r, vadillo ma, trainor lj, lupiáñez j (2022) please 
don’t stop the music: a meta-analysis of the cognitive and academic benefts of instrumental musical training in childhood adolescence. educ res rev 35:100436. https://doi.org/10.1016/j.
edurev.2022.100436",TRUE,introduction,introduction,a meta-analysis of training studies demonstrated small but signifcant associations between early music interventions and ef task performance (román-caballero et al. 2022).
00018244_011210,"briley da, tucker-drob em (2013) explaining the increasing heritability of cognitive ability across development: a meta-analysis of longitudinal twin and adoption studies. psychol sci 24:1704– 1713. https://doi.org/10.1177/0956797613478618",TRUE,other,other,"in light of the replication crisis in science (ritchie 2021), a cause for celebration is that this counter- intuitive finding of increasing heritability of intelligence – from about 40% in childhood to more than 60% in adult- hood -- has consistently replicated, as seen in cross-sec- tional (haworth et al. 2010) and longitudinal (briley and tucker-drob 2013) mega-analyses."
00018244_011210,folling a (1934) excretion of phenylpyruvic acid in urine as a metabolicnomaly in connection with imbecility.nord med tidskr 8:1054-1059,TRUE,other,other,"for example, phenylketonuria, the most common single-gene metabolic disorder, was discovered in 1934 (folling 1934) and shown to be responsible for 1% of the population insti- tutionalized for severe intellectual disability."
00018244_011210,"polderman tjc, benyamin b, de leeuw ca et al (2015) meta-analysis of the heritability of human traits based on fifty years of twin studies. nat genet 47:702–709. https://doi.org/10.1038/ng.3285",TRUE,other,other,a 2015 meta- analysis of all published twin studies showed that behav- ioral traits are about 50% heritable on average (polderman et al. 2015).
00018244_011210,"savage je, jansen pr, stringer s et al (2018) genome-wide associa- tion meta-analysis in 269,867 individuals identifies new genetic and functional links to intelligence. nat genet 50:912–919. https://doi.org/10.1038/s41588-018-0152-6",TRUE,other,other,"the current polygenic score for intelligence, derived from a gwa study with a sample of 280,000, pre- dicted 4% of the variance (savage et al. 2018), but, together, the polygenic scores for educational attainment and intel- ligence predicted 10% of the variance of intelligence test scores (allegrini et al. 2019)."
00018244_011417,"dürrbaum t, sattler fa (2020) minority stress and mental health in lesbian, gay male, and bisexual youths: a meta-analysis. j lgbt youth 17(3):298–314. https:// doi. org/ 10. 1080/ 19361 653. 2019. 15866 15",TRUE,introduction,introduction,"thus, while there is a robust cross-sectional evidence base (dürrbaum & sattler, 2020), this is not sufficient to inform intervention design."
00018244_011417,"howard dm, adams mj, clarke tk, hafferty jd, gibson j, shirali m et al (2019) genome-wide meta-analysis of depression identifies 102 independent variants and highlights the importance of the prefrontal brain regions. nat neurosci 22(3):343–352. https:// doi. org/ 10. 1038/ s41593- 018- 0326-7",TRUE,methods,methods,"effect sizes were derived from genome-wide association studies for same-sex behavior (ganna et al., 2019), and depressive and anxiety symptoms (howard et al., 2019; purves et al., 2020)."
00018244_011417,"polderman tj, benyamin b, de leeuw ca, sullivan pf, van bochoven a, visscher pm, posthuma d (2015) meta-analysis of the heritability of human traits based on fifty years of twin studies. nat genet 47(7):702–709. https:// doi. org/ 10. 1038/ ng. 3285",TRUE,methods,methods,"however, most variables do not have sufficiently distinct ace influences (polderman et al., 2015), and single genetic variants are prone to weak instrument bias (burgess & thompson, 2011) (fig. 1)."
00018244_011417,"semlyen j, king m, varney j, hagger-johnson g (2016) sexual orientation and symptoms of common mental disorder or low wellbeing: combined meta-analysis of 12 uk population health surveys. bmc psychiatry 16(1):1–9. https:// doi. org/ 10. 1186/ s12888- 016- 0767-z",TRUE,introduction,introduction,"psychological distress (depressive and anxiety symptoms) is significantly higher among individuals who are sexually attracted to people of the same sex (including those who identify as being lesbian, gay or bisexual) compared to those who are exclusively heterosexual (king et al., 2008; plöderl & tremblay, 2015; semlyen et al., 2016)."
00018244_011417,"thoma bc, eckstrand kl, montano gt, rezeppa tl, marshal mp (2021) gender nonconformity and minority stress among lesbian, gay, and bisexual individuals: a meta-analytic review. perspect psychol sci 16(6):1165–1183. https:// doi. org/ 10. 1177/ 17456 91620 968766",TRUE,discussion/conclusion,results/discussion/conclusion,"for example, a recent meta-analysis found that gender nonconformity is significantly associated with lower internalized homonegativity (thoma et al., 2021)."
00018244_011522,"savage je, jansen pr, stringer s et al (2018) genome-wide association meta-analysis in 269,867 individuals identifies new genetic and functional links to intelligence. nat genet 50:912–919. https:// doi.org/10.1038/s41588-018-0152-6",TRUE,methods,methods,table 1 overview of the discovery genome-wide association studies to calculate polygenetic scores
00018244_011522,"van dongen j, hagenbeek fa, suderman m et al (2021) dna meth- ylation signatures of aggression and closely related constructs: a meta-analysis of epigenome-wide studies across the lifespan. mol psychiatry. https://doi.org/10.1038/s41380-020-00987-x",TRUE,introduction,introduction,"the first large- scale epigenome-wide association study (ewas) meta-anal- ysis across child and adult cohorts (n = 15,324) reported 13 significant sites in peripheral blood for broad aggression across the lifespan (van dongen et al. 2021).; the genome-wide snp and dna methylation (illumina epic 850k array) data, and the urinary amines and organic acids as measured in these cohorts were previously included in a genome-wide genetic and epigenetic association study and a metabolomics study of (childhood) aggression (hagenbeek et al. 2020; van dongen et al. 2021; ip et al. 2021)."
00018244_011570,"briley da, tucker-drob em (2013) explaining the increasing herit- ability of cognitive ability across development: a meta-analysis of longitudinal twin and adoption studies. psychol sci 24(9):1704– 1713. https://doi.org/10.1177/0956797613478618",TRUE,discussion/conclusion,results/discussion/conclusion,"it is possible that, similar to general cognitive ability (briley and tucker-drob 2013), the impact of shared environments on ic may decline across age such that they only significantly contribute to ic in infancy and early childhood (fujisawa et al. 2016)."
00018244_011570,"willems ye, boesen n, li j, finkenauer c, bartels m (2019) the her- itability of self-control: a meta-analysis. neurosci biobehav rev 100:324–334. https://doi.org/10.1016/j.neubiorev.2019.02.012",TRUE,introduction,introduction,"moreover, a meta-anal- ysis reveals that the heritability of self-control, a broad con- struct that includes ic, shows rank-order stability over time (willems et al. 2019)."
00018244_012676,"willer cj, li y, abecasis gr (2010) metal: fast and efficient meta-analysis of genomewide association scans. bioinformatics 26(17):2190–2191",FALSE,NA,NA,NA
00018244_012694,"blokland ga, de zubicaray gi, mcmahon kl, wright mj (2012) genetic and environmental influences on neuroimaging phenotypes: a meta-analytical perspective on twin imaging studies. twin res hum genet 15(3):351–371. https:// doi. org/ 10. 1017/ thg. 2012. 11",TRUE,results,results/discussion/conclusion,"similar to prior studies (blokland et al. 2012; peper et al. 2007; schmitt et al. 2007a, b), volumes of the deep gray nuclei were, in general, highly heritable.; approximately 65% of the phenotypic variation in thalamic volumes could be attributed to genetic effects, as compared to estimates of 52% in an adult meta-analysis (blokland et al. 2012) and 64% in the nih pediatric sample (schmitt et al. 2007a, b)."
00018244_012694,"blokland ga, de zubicaray gi, mcmahon kl, wright mj (2012) genetic and environmental influences on neuroimaging phenotypes: a meta-analytical perspective on twin imaging studies. twin res hum genet 15(3):351–371. https:// doi. org/ 10. 1017/ thg. 2012. 11",TRUE,discussion/conclusion,results/discussion/conclusion,"variance component patterns for smri endophenotypes were, in general, remarkably consistent with the extant literature (blokland et al. 2012; peper et al. 2007)."
00018244_012694,"king mj, katz dp, thompson la, macnamara bn (2019) genetic and environmental influences on spatial reasoning: a meta-analysis of twin studies. intelligence 73:65–77",TRUE,discussion/conclusion,results/discussion/conclusion,a metaanalysis of visuospatial reasoning studies (king et al. 2019) in twins found considerably higher heritability estimates for matrix reasoning (58%) and mental rotation (65%).
00018244_012694,"polderman tj, benyamin b, de leeuw ca, sullivan pf, van bochoven a, visscher pm, posthuma d (2015) meta-analysis of the heritability of human traits based on fifty years of twin studies. nat genet 47(7):702–709. https:// doi. org/ 10. 1038/ ng. 3285",TRUE,introduction,introduction,"prior estimates of additive genetic, common and specific environmental effects based on published studies were comprehensively reported (polderman et al. 2015), featuring thousands of human traits varying from simple questionnaire items to costly neuroimaging and other inperson assessments."
00030147_002197,"bourdeau, p. e., r. k. butlin, c. brönmark, t. c. edgell, j. t.hoverman, and j. hollander. 2015. what can aquatic gastropodstell us about phenotypic plasticity? a review and meta-analysis.heredity 115:312–321.",TRUE,discussion/conclusion,results/discussion/conclusion,molluscan shells have manyintraspeciﬁc variations and can vary both evolutionarilyand plastically between regions (trussell and smith 2000;bourdeau et al. 2015).
00030147_002958,"leimu, r., and m. fischer. 2008. a meta-analysis of local adaptation in plants. plos one 3:e4010.",TRUE,introduction,introduction,"populations can rapidly evolve in response to environmental changes (hendry and kinnison 1999; hairston et al. 2005; reznick et al. 2019), with strong evidence that local adaptation is common (leimu and fischer 2008; hereford 2009)."
00030147_004089,"aguilar, r., l. ashworth, l. galetto, and m. a. aizen. 2006. plant reproductive susceptibility to habitat fragmentation: review and synthesis through a meta-analysis. ecology letters 9:968–980",TRUE,introduction,introduction,"indeed, an increased level of self-fertilization has been widely documented in response to environmental changes, such as human disturbances (eckert et al. 2010), habitat fragmentation (aguilar et al. 2006), range expansion (levin 2012), and colonization (bar- rett et al. 2008; pannell et al. 2015)."
00030147_005131,"huang, m. h., and a. dornhaus. 2008. a meta-analysis of ant social parasitism: host characteristics of different parasitism types and a test of emery’s rule. ecological entomology 34:589–596. https://doi.org/10.1111/j.1365-2311.2008.01005.x",TRUE,discussion/conclusion,results/discussion/conclusion,"emery’s rule has most commonly been examined within socially parasitic insect clades, where it is typically not supported in the strict form when considering individual parasite species (e.g., huang and dornhaus 2008; lopez-osario et al. 2015)"
00030147_005193,"cadotte, m. w. 2006. dispersal and species diversity: a meta-analysis. american naturalist 167:913–924.",TRUE,introduction,introduction,"as a consequence, dispersal can play a key role in shaping biodiversity patterns at both local and regional scales (kerr et al. 2002; cadotte 2006; grainger and gilbert 2016) ; following this premise, alpha (local) diversity is likely highest at intermediate dispersal, while beta (dissimilarity between patches) and gamma (regional) diversity likely decreases with dispersal (mouquet and loreau 2002, 2003; cadotte 2006)."
00030147_005193,"catano, c. p., t. l. dickson, and j. a. myers. 2017. dispersal and neutral sampling mediate contingent effects of disturbance on plant beta-diversity: a meta-analysis. ecology letters 20:347–356.",TRUE,introduction,introduction,"however, the relationship between dispersal and biodiversity patterns is also shaped by local conditions and processes, including biotic interactions (e.g., kneitel and miller 2003; shurin et al. 2004; altermatt et al. 2011; carrara et al. 2012; vanschoenwinkel et al. 2013; catano et al. 2017)."
00030147_005193,"catano, c. p., t. l. dickson, and j. a. myers. 2017. dispersal and neutral sampling mediate contingent effects of disturbance on plant beta-diversity: a meta-analysis. ecology letters 20:347–356.",TRUE,discussion/conclusion,results/discussion/conclusion,"the source-sink dynamics dissolve, and the homogenization effect of dispersal decreases local and regional diversity (mouquet and loreau 2003; grainger and gilbert 2016; catano et al. 2017)."
00030147_005426,"ratto, f., b. i. simmons, r. spake, v. zamora-gutierrez, m. a.macdonald, j. c. merriman, c. j. tremlett, g. m. poppy,k. s.-h. peh, and l. v. dicks. 2018. global importance of ver-tebrate pollinators for plant reproductive success: a meta-analysis. frontiers in ecology and the environment 16:82–90.",TRUE,introduction,introduction,"for example, bats, rodents, and passerinebirds are important pollinators, particularly in tropical re-gions (ratto et al. 2018), while insects and hummingbirdsact as pollinators across latitudes in the americas."
00030147_009870,"hendriks, a. j. 2007. the power of size: a meta-analysis reveals consistency
 of allometric regressions. ecological modelling 205:196–
 208.",TRUE,introduction,introduction,"within guilds of animals, activity space (i.e., space
 use) generally varies as a function of body weight (turner
 et al. 1969; hendriks 2007) because larger animals tend to
 move over larger spatial extents than smaller animals because
 of their greater energy requirements (mcnab 1963;
 lindstedt et al. 1986) and the relatively lower energetic cost
 of movement (schmidt-nielsen 1972)."
00030147_011017,"dougherty, l. r., m. j. skirrow, m. d. jennions, and l. w. simmons. 2022. male alternative reproductive tactics and sperm competition: a meta-analysis. biological reviews 97:1365–1388.",TRUE,introduction,introduction,"sneaker males are always subjected to strong sperm competition, but greater investment in ejaculates lowers investment into traits that increase mating success (e.g., weapons; simmons et al. 2017; but see kustra and alonzo 2020; dougherty et al. 2022)."
00030147_011017,"kelly, c. d., and m. d. jennions. 2011. sexual selection and sperm quantity: meta-analyses of strategic ejaculation. biological reviews 86:863–884.",TRUE,introduction,introduction,"postcopulatory sexual selection (e.g., sperm competition) favors male traits that increase ejaculate competitiveness, such as larger testes (lüpold et al. 2020), bigger ejaculates (kelly and jennions 2011), and higher-quality sperm (e.g., boschetto et al. 2011)."
00030147_011017,"lüpold, s., r. a. de boer, j. p. evans, j. l. tomkins, and j. l. fitzpatrick. 2020. how sperm competition shapes the evolution of testes and sperm: a meta-analysis. philosophical transactions of the royal society b 375:20200064.",TRUE,introduction,introduction,"postcopulatory sexual selection (e.g., sperm competition) favors male traits that increase ejaculate competitiveness, such as larger testes (lüpold et al. 2020), bigger ejaculates (kelly and jennions 2011), and higher-quality sperm (e.g., boschetto et al. 2011)."
00030147_011017,"macartney, e. l., a. j. crean, s. nakagawa, and r. bonduriansky. 2019. effects of nutrient limitation on sperm and seminal fluid: a systematic review and meta-analysis. biological reviews 94:1722–1739.",TRUE,introduction,introduction,"many sexually selected traits are condition dependent (rowe and houle 1996; macartney et al. 2019), and investment into both mate acquisition and ejaculates is limited by a male’s ability to acquire the relevant resources."
00030147_015821,"harts, a. m. f., i. booksmythe, and m. d. jennions. 2016. mate guarding and frequent copulation in birds: a meta-analysis of their relationship to paternity and male phenotype. evolution 70:2789–2808.",TRUE,other,other,frequent copulation is considered one of the main strategies for pair-bonded males to ensure paternity in response to female extrapair copulations (møller and birkhead 1991; hunter et al. 1993; harts et al. 2016).
00030147_015855,"hendriks, a. j., j. l. m. maas-diepeveen, e. h. w. heugens, and n. m. van straalen. 2005. meta-analysis of intrinsic rates of increase and carrying capacity of populations affected by toxic and other stressors. environmental toxicology and chemistry 24:2267.",TRUE,discussion/conclusion,results/discussion/conclusion,"classic r/k theory tells us density-dependent and density-independent parameters should trade off (macarthur and wilson 1967), yet many studies have failed to find this trade-off when estimated from empirical data (hendriks et al. 2005; reding-roman et al. 2017; zhang et al. 2017)."
00033472_002106,"rifkin, j. l., nunn, c. l., & garamszegi, l. z. (2012). do animals living in larger groups experience greater parasitism? a meta-analysis. american naturalist, 180, 70e80.",TRUE,introduction,introduction,"social species may be more prone to allee effects due to a degradation of social behaviours in small populations (brashares et al., 2010; somers et al., 2008; stephens & sutherland, 1999; thompson et al., 2019), and physical proximity can facilitate the transmission of pathogens (rifkin et al., 2012; wendland et al., 2010) or, conversely, beneficial bacteria (sarkar et al., 2020; soares et al., 2019)"
00033472_007724,"bell, a. m., hankison, s. j., & laskowski, k. l. (2009). the repeatability of behaviour: a meta-analysis. animal behaviour, 77(4), 771e783. https://doi.org/10.1016/ j.anbehav.2008.12.022",TRUE,introduction,introduction,"we were also interested in the repeatability (bell et al., 2009) of peak preference and preference selectivity."
00033472_007724,"bell, a. m., hankison, s. j., & laskowski, k. l. (2009). the repeatability of behaviour: a meta-analysis. animal behaviour, 77(4), 771e783. https://doi.org/10.1016/ j.anbehav.2008.12.022",TRUE,discussion/conclusion,results/discussion/conclusion,"we also found that repeatability was higher than previously reported for enchenopa likely because we assessed it over a shorter time span (bell et al., 2009; fowler-finn & rodríguez, 2013)."
00033472_007724,"davies, a. d., lewis, z., & dougherty, l. r. (2020). a meta-analysis of factors influencing the strength of mate-choice copying in animals. behavioral ecology, 31(6), 1279e1290. https://doi.org/10.1093/beheco/araa064",TRUE,introduction,introduction,"female mate choice copying appears to be taxonomically widespread in vertebrates (davies et al., 2020; jones & duval, 2019; vakirtzis, 2011).; the distribution of female mate choice copying in other animal groups, however, remains unclear (davies et al., 2020)."
00033472_007724,"davies, a. d., lewis, z., & dougherty, l. r. (2020). a meta-analysis of factors influencing the strength of mate-choice copying in animals. behavioral ecology, 31(6), 1279e1290. https://doi.org/10.1093/beheco/araa064",TRUE,methods,methods,"we used this ‘before-and-after’ treatment approach as copying was stronger in animal studies that used this design over those that had a separate control and social experimental groups (davies et al., 2020)."
00033472_007724,"jones, b. c., & duval, e. h. (2019). mechanisms of social influence: a meta-analysis of the effects of social information on female mate choice decisions. frontiers in ecology and evolution, 7. https://doi.org/10.3389/fevo.2019.00390. article 390.",TRUE,introduction,introduction,"female mate choice copying appears to be taxonomically widespread in vertebrates (davies et al., 2020; jones & duval, 2019; vakirtzis, 2011).; multiple studies in arthropods, for instance, have examined the use of social information when females make mating decisions (belkina et al., 2021; jones & duval, 2019; vakirtzis, 2011).; results from these studies are mixed, with some supporting social learning and others independent mate choice (jones & duval, 2019; vakirtzis, 2011), although evidence of anticopying is rare (loyau et al., 2012).; most attention regarding female mate choice copying in arthropods has focused on drosophila (belkina et al., 2021; jones & duval, 2019; vakirtzis, 2011)."
00033472_007858,"chamberlain, d. e., cannon, a. r., toms, m. p., leech, d. i., hatchwell, b. j., & gaston, k. j. (2009). avian productivity in urban landscapes: a review and metaanalysis. ibis, 151(1), 1e18. https://doi.org/10.1111/j.1474-919x.2008.00899.x",TRUE,introduction,introduction,"songbirds, whicharewellstudiedin the context of urban adaptation, show a range of modifications, including reduced fear of humans (evans et al., 2010; møller, 2008; scales et al., 2011), use of artificial structures and materials in nesting (bressler et al., 2020; reynolds et al., 2019), extended breeding seasons that in turnproduce moreoffspring(chamberlain et al., 2009; yeh & price, 2004), modified long-range vocalizations (slabbekoorn & peet, 2003) and modified territorial responses (davies & sewall, 2016; newman et al., 2006)."
00033472_007998,NA,NA,NA,NA,NA
